gene,gene_name,gene_type,chr,start,end,strand,length
ENSG00000229162.1,RP11-84D1.1,antisense,chr1,25287836,25289588,+,820
ENSG00000229163.2,NAP1L1P2,pseudogene,chrY,2797042,2799161,-,1089
ENSG00000229164.5,TRAC,TR_C_gene,chr14,23016447,23021097,+,974
ENSG00000229165.1,GDI2P1,pseudogene,chr7,48942152,48943487,-,1336
ENSG00000229167.1,RP11-73M7.1,antisense,chr1,32037186,32041174,-,591
ENSG00000229168.3,RPL19P20,pseudogene,chrX,44508375,44508965,+,591
ENSG00000229169.1,RP11-247I13.6,pseudogene,chr22,31934338,31934575,-,238
ENSG00000229172.1,AC073065.3,pseudogene,chr2,228666556,228669421,+,2866
ENSG00000229173.1,AC108059.4,pseudogene,chr2,128897366,128898090,-,725
ENSG00000229175.1,LINC00382,lincRNA,chr13,80446721,80492079,+,890
ENSG00000229177.1,AC008154.5,lincRNA,chr7,134030823,134035543,-,327
ENSG00000229178.1,AC069513.4,lincRNA,chr3,195382436,195384798,-,1684
ENSG00000229180.4,GS1-124K5.11,lincRNA,chr7,65991075,66007536,-,7092
ENSG00000229182.3,MRPS16P1,pseudogene,chr8,92929735,92930146,+,412
ENSG00000229183.4,PGA4,protein_coding,chr11,60989688,61018929,+,3821
ENSG00000229184.2,RP11-255J3.3,pseudogene,chr9,2900320,2900804,-,485
ENSG00000229186.3,ADAM1A,pseudogene,chr12,112337067,112340042,+,2976
ENSG00000229188.2,RP4-553F4.2,antisense,chr20,32316737,32319634,-,401
ENSG00000229190.1,RP11-390B4.3,antisense,chr10,17737708,17742231,-,557
ENSG00000229191.1,RP11-168O16.1,lincRNA,chr1,200993077,200997920,+,3508
ENSG00000229192.2,AC004870.3,lincRNA,chr7,47040218,47118726,-,530
ENSG00000229195.1,AC009495.4,lincRNA,chr2,166651367,166702601,-,372
ENSG00000229196.3,RP11-775D22.2,antisense,chr7,129781571,129782455,+,503
ENSG00000229197.1,RP11-227H15.7,pseudogene,chr10,71060188,71060573,-,386
ENSG00000229198.2,RP11-12A20.4,pseudogene,chr9,67789326,67789530,-,205
ENSG00000229200.2,TRBV7-8,TR_V_gene,chr7,142099455,142099977,-,386
ENSG00000229201.1,RP5-827O9.1,lincRNA,chr1,90976467,90999029,-,231
ENSG00000229203.1,AC103564.7,lincRNA,chr2,132587374,132589604,-,562
ENSG00000229204.2,PTGES3P3,pseudogene,chr4,170712371,170712853,-,483
ENSG00000229205.2,LINC00200,lincRNA,chr10,1205708,1210612,+,2794
ENSG00000229206.2,RP11-397O4.1,sense_intronic,chr10,11072297,11072831,+,433
ENSG00000229207.1,SERPINH1P1,pseudogene,chr9,34318405,34319653,+,1249
ENSG00000229208.1,RBMY2NP,pseudogene,chrY,9669027,9684305,-,1028
ENSG00000229209.1,AC073987.1,lincRNA,chr2,103726217,103792718,-,638
ENSG00000229211.3,RP11-363L24.2,pseudogene,chr8,31077410,31078500,-,950
ENSG00000229212.3,RP11-561C5.4,pseudogene,chr15,85747141,85778026,-,3193
ENSG00000229213.1,RP1-118J21.24,pseudogene,chr1,40261515,40261668,-,154
ENSG00000229214.1,LINC00242,lincRNA,chr6,170188886,170198921,-,2418
ENSG00000229217.1,AC034193.7,pseudogene,chr3,10099657,10099971,-,315
ENSG00000229220.1,RP11-47A17.2,pseudogene,chr1,200116659,200117407,-,749
ENSG00000229221.1,HNRNPA1P66,pseudogene,chr2,63978831,63979764,-,934
ENSG00000229222.1,KRT18P4,pseudogene,chr20,48573282,48574569,+,1288
ENSG00000229224.1,AC105398.3,antisense,chr2,29319709,29320391,-,402
ENSG00000229225.1,RP11-5P4.3,lincRNA,chr1,63543752,63544702,-,157
ENSG00000229226.3,BTF3L4P4,pseudogene,chr4,169519391,169519908,-,449
ENSG00000229227.4,RP11-38L15.2,lincRNA,chr10,46937463,46951699,-,2755
ENSG00000229228.1,LINC00582,antisense,chr1,231727038,231747836,-,597
ENSG00000229229.1,AC022201.4,antisense,chr2,70630066,70649810,+,577
ENSG00000229230.2,MT1P3,pseudogene,chr20,33805812,33805988,+,177
ENSG00000229231.1,FEM1AP1,pseudogene,chr21,15134659,15136653,+,1995
ENSG00000229232.1,KRT18P53,pseudogene,chrX,505971,506087,-,117
ENSG00000229233.1,AC011891.5,lincRNA,chr7,12693804,12694610,+,432
ENSG00000229234.1,RBMY1KP,pseudogene,chrY,24355478,24362727,+,476
ENSG00000229235.1,RP11-8L18.3,pseudogene,chr10,34952787,34953029,-,243
ENSG00000229236.1,TTTY10,lincRNA,chrY,22627554,22681114,-,1726
ENSG00000229237.2,HMGN1P37,pseudogene,chrX,154045374,154045676,-,303
ENSG00000229238.3,PPP1R12BP1,pseudogene,chrY,28424070,28500565,-,1671
ENSG00000229239.2,RP11-223J15.2,pseudogene,chr1,23996784,24006749,+,1186
ENSG00000229240.3,LINC00710,processed_transcript,chr10,10969021,10994197,-,2672
ENSG00000229241.1,PNPT1P1,pseudogene,chr3,4023665,4025979,-,2315
ENSG00000229242.1,RP5-1111A8.3,antisense,chr1,216059924,216074806,+,800
ENSG00000229243.1,AC098973.1,lincRNA,chr3,27872379,27875627,-,2833
ENSG00000229245.2,RP11-542K23.7,antisense,chr9,125165686,125211256,+,522
ENSG00000229246.1,RP11-521J24.1,lincRNA,chr13,81617805,81618577,+,657
ENSG00000229247.2,RP11-492M19.3,pseudogene,chr1,26966868,26967105,-,238
ENSG00000229248.1,WBP2P1,pseudogene,chr18,22596398,22597168,-,771
ENSG00000229249.2,LINC00446,lincRNA,chr13,78587018,78627730,+,670
ENSG00000229250.1,USP9YP31,pseudogene,chrY,26227851,26236493,-,881
ENSG00000229251.2,HNRNPA1P8,pseudogene,chr7,84612863,84613825,+,963
ENSG00000229254.1,OR8C1P,pseudogene,chr11,124246773,124247697,-,925
ENSG00000229255.1,RP11-407H12.8,antisense,chr1,248647546,248648785,-,967
ENSG00000229256.1,ST13P13,pseudogene,chr10,104975466,104976557,+,1092
ENSG00000229257.2,RP11-229P13.22,antisense,chr9,139952115,139956913,+,301
ENSG00000229258.1,RP11-552D8.1,antisense,chr1,212003188,212027045,+,1359
ENSG00000229259.1,LRRC37A12P,pseudogene,chr1,32888815,32892390,-,1801
ENSG00000229261.1,RP11-227H15.4,antisense,chr10,70975089,70992246,-,1933
ENSG00000229262.1,RP4-726N1.2,antisense,chr20,18040137,18051652,+,400
ENSG00000229263.1,AC004691.5,antisense,chr7,30836307,30843026,-,547
ENSG00000229266.1,POM121L8P,pseudogene,chr22,21637170,21638450,+,1281
ENSG00000229267.2,AC072062.1,antisense,chr2,215674953,215827998,+,2108
ENSG00000229268.1,PES1P2,pseudogene,chr9,13986174,13987908,+,1735
ENSG00000229269.1,RP11-298A8.2,lincRNA,chrX,140013903,140079613,+,217
ENSG00000229271.1,AC091493.2,lincRNA,chr3,16729493,16738986,-,411
ENSG00000229272.1,RP11-498J9.2,antisense,chr10,120763048,120763396,-,229
ENSG00000229273.1,RP11-104G3.2,pseudogene,chr9,41954580,41955037,+,458
ENSG00000229274.1,XXbac-BPG13B8.10,lincRNA,chr6,29465286,29478333,+,877
ENSG00000229275.1,LL22NC03-121E8.3,lincRNA,chr22,48537359,48539046,+,668
ENSG00000229276.1,REV3L-IT1,sense_intronic,chr6,111681844,111682810,-,382
ENSG00000229278.1,RP11-483F11.7,antisense,chr10,101411746,101413662,-,303
ENSG00000229280.1,RP11-374C13.1,pseudogene,chr1,4235588,4235959,-,372
ENSG00000229281.1,GPR53P,pseudogene,chr6,29505481,29506564,-,1084
ENSG00000229282.1,RP1-40E16.2,lincRNA,chr6,3056124,3056995,+,398
ENSG00000229283.1,RP5-1125M8.2,antisense,chr1,111860222,111866603,-,476
ENSG00000229286.1,LA16c-4G1.4,pseudogene,chr22,16076052,16076172,-,121
ENSG00000229287.1,FABP5P4,pseudogene,chr13,92832968,92833138,-,171
ENSG00000229288.1,RP11-1E11.2,pseudogene,chr9,90802650,90805117,-,2090
ENSG00000229289.1,AP000431.2,lincRNA,chr21,20502841,20506741,+,469
ENSG00000229291.1,RP4-580N22.2,lincRNA,chr1,236121179,236135125,-,190
ENSG00000229292.1,RFPL4AL1,protein_coding,chr19,56280507,56284545,+,908
ENSG00000229294.1,RP5-1044H5.1,antisense,chr1,65745139,65772204,-,512
ENSG00000229297.1,RP11-540H22.2,lincRNA,chr9,109346423,109354233,-,371
ENSG00000229298.1,TUBB8P1,pseudogene,chr9,21811620,21812346,-,727
ENSG00000229299.2,RP4-583P15.10,antisense,chr20,62376042,62377311,+,471
ENSG00000229301.1,RP5-905H7.8,lincRNA,chr7,62814835,62819684,+,528
ENSG00000229302.1,TAF9P2,pseudogene,chrY,20438493,20439381,-,515
ENSG00000229303.1,PPIAP25,pseudogene,chr13,46010256,46010795,+,540
ENSG00000229305.1,RP11-431K24.2,pseudogene,chr1,8249884,8252830,+,1075
ENSG00000229306.1,AP001464.4,lincRNA,chr21,14371997,14389013,-,323
ENSG00000229307.1,LINC00459,lincRNA,chr13,62897790,62902966,+,376
ENSG00000229308.1,AC010084.1,lincRNA,chrY,3904538,3968361,+,559
ENSG00000229309.2,RP11-452B18.2,lincRNA,chr13,81824573,81876542,+,382
ENSG00000229310.1,RPP40P1,pseudogene,chrX,25609470,25609925,-,456
ENSG00000229311.1,RP11-475I24.8,lincRNA,chr9,44384585,44391705,+,3614
ENSG00000229312.2,RP11-470P21.2,antisense,chr9,72087382,72109429,+,442
ENSG00000229313.1,RP3-425P12.5,antisense,chr6,25042067,25056892,+,577
ENSG00000229314.4,ORM1,protein_coding,chr9,117085336,117088755,+,1532
ENSG00000229315.2,MCHR2-AS1,antisense,chr6,100441820,100524289,+,1268
ENSG00000229316.1,HMGB1P45,pseudogene,chr1,50864497,50865445,-,653
ENSG00000229320.3,KRT8P12,pseudogene,chr3,160283235,160287036,+,2047
ENSG00000229321.1,AC008269.2,lincRNA,chr2,207731519,207733013,+,646
ENSG00000229322.1,RP5-937E21.1,pseudogene,chrX,148730843,148731793,-,951
ENSG00000229323.1,RP11-175B12.2,lincRNA,chr13,51095069,51101585,-,731
ENSG00000229324.1,RP5-1091N2.3,pseudogene,chrX,70236381,70236755,-,375
ENSG00000229325.1,ACAP2-IT1,sense_intronic,chr3,195001452,195003470,-,690
ENSG00000229326.2,AC069154.4,pseudogene,chr2,120456199,120457733,+,548
ENSG00000229327.1,RP11-135A24.2,antisense,chr10,32636325,32663416,+,265
ENSG00000229330.2,AC006947.1,sense_intronic,chr17,64672490,64673522,+,484
ENSG00000229331.1,GK-IT1,sense_intronic,chrX,30689752,30690283,+,397
ENSG00000229332.2,PGBD4P8,pseudogene,chr1,60563087,60563648,+,562
ENSG00000229334.1,AC046143.3,antisense,chr3,194353652,194366130,+,972
ENSG00000229335.1,RP1-241P17.1,antisense,chrX,114957297,114959383,+,446
ENSG00000229336.1,AP000568.2,pseudogene,chr21,21112023,21112464,+,442
ENSG00000229337.1,AC079305.8,antisense,chr2,178020350,178077390,-,218
ENSG00000229338.1,RP11-92C4.4,pseudogene,chr9,101652872,101654219,+,318
ENSG00000229339.1,RP11-193I22.2,pseudogene,chr3,42092673,42093186,-,514
ENSG00000229343.1,CDY22P,pseudogene,chrY,27959160,27960713,+,1554
ENSG00000229344.1,RP5-857K21.7,pseudogene,chr1,568137,568818,+,682
ENSG00000229345.1,RP11-332M4.1,lincRNA,chr9,98361827,98368568,-,395
ENSG00000229347.1,RP11-504E21.1,pseudogene,chrX,35077044,35078091,+,1048
ENSG00000229348.1,HYI-AS1,antisense,chr1,43919598,43922666,+,545
ENSG00000229349.2,ACTG1P9,pseudogene,chr6,46172466,46175123,+,2658
ENSG00000229351.1,KRTAP9-11P,pseudogene,chr17,39427563,39428087,+,525
ENSG00000229352.1,AC007563.3,lincRNA,chr2,217664331,217670058,+,689
ENSG00000229356.1,LRRC3-AS1,antisense,chr21,45870869,45875167,-,784
ENSG00000229357.1,RP11-235D19.3,pseudogene,chr1,150876372,150876689,+,318
ENSG00000229358.3,DPY19L1P1,pseudogene,chr7,32620561,32801399,-,2594
ENSG00000229359.2,PIN1P1,pseudogene,chr1,70385005,70386000,+,996
ENSG00000229360.1,PPP1R2P5,pseudogene,chr2,107557336,107557938,-,603
ENSG00000229361.4,UBTFL7,pseudogene,chr11,49103459,49104649,+,1191
ENSG00000229365.3,RP4-639J15.2,pseudogene,chr7,156880649,156881237,-,589
ENSG00000229367.1,HMGN2P19,pseudogene,chr1,229706279,229706543,+,265
ENSG00000229368.1,AC090587.4,sense_overlapping,chr11,3875842,3876629,+,527
ENSG00000229369.1,RP13-225O21.5,pseudogene,chr9,130062372,130063261,-,589
ENSG00000229370.1,AC092635.1,lincRNA,chr2,13677798,13749293,+,455
ENSG00000229372.1,SZT2-AS1,antisense,chr1,43913447,43914315,-,699
ENSG00000229373.4,LINC00452,lincRNA,chr13,114586640,114626485,+,4103
ENSG00000229375.1,USP24P1,pseudogene,chr13,19589627,19593476,-,779
ENSG00000229376.3,CICP3,pseudogene,chr1,657472,660283,+,2455
ENSG00000229379.1,AC006041.1,lincRNA,chr7,15880922,15881985,-,328
ENSG00000229380.1,AC147651.5,antisense,chr7,601595,605256,+,572
ENSG00000229382.1,BX322557.13,lincRNA,chr21,46756622,46758580,+,379
ENSG00000229384.2,HMGB1P16,pseudogene,chrX,36229213,36229752,+,540
ENSG00000229385.1,AC010975.1,antisense,chr2,79720842,79727970,-,669
ENSG00000229386.2,OR8B9P,pseudogene,chr11,124350895,124351819,-,925
ENSG00000229387.2,AC103801.2,protein_coding,chr11,22646860,22647369,+,510
ENSG00000229388.1,RP11-442N24__B.1,lincRNA,chr1,28969740,28975093,+,978
ENSG00000229389.1,CTD-2022H16.1,lincRNA,chr15,30345145,30365267,-,693
ENSG00000229390.1,MICD,pseudogene,chr6,29938578,29940241,-,813
ENSG00000229391.3,HLA-DRB6,pseudogene,chr6,32520490,32527799,-,1326
ENSG00000229393.1,RP3-395M20.3,antisense,chr1,2424876,2425918,-,514
ENSG00000229395.1,AC013401.1,lincRNA,chr2,193494645,193510432,+,565
ENSG00000229398.1,RP4-620E11.5,pseudogene,chr20,40011023,40011747,+,725
ENSG00000229399.1,RP11-378J18.6,pseudogene,chr1,222814756,222815200,-,445
ENSG00000229400.1,RP11-3L21.2,antisense,chr1,224905206,224918364,-,837
ENSG00000229401.1,RP1-290I10.7,lincRNA,chr6,10434549,10457014,+,860
ENSG00000229402.1,AL162151.4,antisense,chr14,99624753,99626006,+,561
ENSG00000229403.1,RP4-718N17.2,lincRNA,chr7,51681947,51698566,+,588
ENSG00000229404.1,LINC00858,lincRNA,chr10,86039736,86054415,+,2879
ENSG00000229405.1,AC092580.1,pseudogene,chr2,7876569,7877226,-,658
ENSG00000229406.1,OFD1P4Y,pseudogene,chrY,20615036,20634023,-,1179
ENSG00000229407.1,RP11-12M5.3,antisense,chr1,179785319,179787326,-,601
ENSG00000229409.1,RP11-494O16.3,pseudogene,chr22,50239577,50239738,+,162
ENSG00000229413.1,AC018638.1,pseudogene,chr7,128293740,128293989,-,246
ENSG00000229414.2,KCNQ1-AS1,antisense,chr11,2861365,2882798,-,1084
ENSG00000229415.5,SFTA3,protein_coding,chr14,36942493,36983034,-,3108
ENSG00000229416.1,USP9YP8,pseudogene,chrY,23839132,23843004,-,500
ENSG00000229417.1,NPM1P25,pseudogene,chr10,97949122,97949975,-,854
ENSG00000229418.2,RP11-35J23.1,antisense,chr10,98052442,98066452,-,1924
ENSG00000229419.1,RALGAPA1P,pseudogene,chr9,108282409,108288640,+,6232
ENSG00000229420.1,RP11-782C8.7,pseudogene,chr1,143245164,143245590,+,427
ENSG00000229421.1,AC133141.1,pseudogene,chr3,25482655,25482993,-,339
ENSG00000229422.1,RP11-262H14.5,pseudogene,chr9,66493572,66494196,-,625
ENSG00000229423.2,RPL27AP8,pseudogene,chr13,48340775,48341220,-,446
ENSG00000229424.1,AC007349.4,lincRNA,chr7,36790292,36802686,+,587
ENSG00000229425.1,AJ006998.2,lincRNA,chr21,16742841,16774624,-,1000
ENSG00000229427.1,ANKRD26P4,pseudogene,chr13,31885426,31887058,+,950
ENSG00000229431.1,RP1-92O14.6,antisense,chr1,43850784,43854826,+,731
ENSG00000229433.1,RP11-329B9.1,lincRNA,chr3,184474177,184490943,-,2591
ENSG00000229434.1,AC017048.1,lincRNA,chr2,177370973,177372430,-,495
ENSG00000229435.2,PIP5K1P2,pseudogene,chr7,159024125,159026067,+,1120
ENSG00000229436.1,AC073850.6,pseudogene,chr7,80291647,80291901,-,255
ENSG00000229437.1,LINC00366,lincRNA,chr13,39150777,39153131,+,435
ENSG00000229440.1,RP5-1033K19.2,pseudogene,chr1,68847124,68847340,-,217
ENSG00000229442.2,THEMIS3P,pseudogene,chr18,8486995,8513847,+,1586
ENSG00000229443.1,LINC00433,lincRNA,chr13,89193119,89197764,+,1055
ENSG00000229444.1,RP11-184I16.4,antisense,chr1,44175063,44193014,-,469
ENSG00000229447.2,RP11-490K7.4,pseudogene,chr1,31736092,31736528,-,437
ENSG00000229452.1,AC005162.4,antisense,chr7,29119900,29122143,+,389
ENSG00000229453.1,SPINK8,protein_coding,chr3,48348336,48369831,-,440
ENSG00000229454.1,RP11-202I11.2,lincRNA,chr9,88370957,88380027,-,429
ENSG00000229455.2,RPS10P18,pseudogene,chr10,126178392,126179147,-,495
ENSG00000229456.1,RLIMP1,pseudogene,chr13,41192875,41195485,+,1680
ENSG00000229457.1,AC006227.1,lincRNA,chr2,107871147,107982329,-,1196
ENSG00000229458.2,RP11-202D18.2,antisense,chr10,83983969,83988935,-,527
ENSG00000229459.1,AC023669.1,lincRNA,chr7,46300662,46334067,+,524
ENSG00000229462.1,AC127383.1,pseudogene,chr2,68672842,68676306,-,1800
ENSG00000229463.2,LYST-AS1,antisense,chr1,236002783,236003482,+,521
ENSG00000229464.1,RP11-481A12.6,pseudogene,chr10,51654977,51655307,-,331
ENSG00000229465.1,ACTG1P11,pseudogene,chrY,20309770,20310894,+,1125
ENSG00000229466.1,RP11-56I23.1,lincRNA,chr10,107568533,107578955,-,456
ENSG00000229468.1,AC097635.5,pseudogene,chr3,20053944,20054098,+,155
ENSG00000229471.1,RP11-95K23.7,pseudogene,chr9,41214067,41217717,-,527
ENSG00000229472.1,RP1-64K7.4,antisense,chr20,32668955,32669754,+,230
ENSG00000229473.2,RGS17P1,pseudogene,chr13,41566915,41567467,-,553
ENSG00000229474.2,PATL2,protein_coding,chr15,44957930,45003514,-,4771
ENSG00000229477.3,FAM90A16P,pseudogene,chr8,7588261,7591271,+,1395
ENSG00000229478.1,ROBO2P1,pseudogene,chr7,51667982,51668269,-,288
ENSG00000229481.1,CTD-2554C21.3,lincRNA,chr19,38320191,38322797,+,2607
ENSG00000229483.2,LINC00362,lincRNA,chr13,23743974,23744736,-,264
ENSG00000229484.1,RP5-888M10.2,lincRNA,chr1,12587766,12588462,+,438
ENSG00000229485.1,KSR1P1,pseudogene,chr10,42644758,42644997,-,240
ENSG00000229486.2,RP4-552O12.1,pseudogene,chr1,84481548,84484054,-,1401
ENSG00000229487.1,ALG13-AS1,antisense,chrX,110949877,110954329,-,195
ENSG00000229489.2,ATP5A1P5,pseudogene,chr9,43399987,43401315,+,1329
ENSG00000229491.1,RP11-342D14.1,antisense,chrX,45042496,45193162,+,1725
ENSG00000229492.1,AC004019.10,pseudogene,chr22,17897744,17898875,+,1132
ENSG00000229494.1,AC012494.1,lincRNA,chr2,78315856,78354932,+,1103
ENSG00000229495.1,RP11-173D14.3,lincRNA,chr6,79519432,79523020,-,2632
ENSG00000229497.1,AC005189.6,pseudogene,chr7,43806889,43807198,+,310
ENSG00000229498.1,AC105053.3,antisense,chr2,86042253,86052514,+,1711
ENSG00000229500.1,RPL17P1,pseudogene,chr20,20233947,20234482,-,536
ENSG00000229502.1,RP11-52J3.2,antisense,chr6,158293603,158296242,-,1019
ENSG00000229503.1,AC092155.1,pseudogene,chr2,62759718,62760194,-,477
ENSG00000229505.1,RP4-682E18.1,pseudogene,chr1,86495537,86496272,+,736
ENSG00000229508.2,PHKG1P4,pseudogene,chr7,57128297,57129008,-,370
ENSG00000229509.1,RP11-421E17.4,pseudogene,chr1,206506678,206506789,-,112
ENSG00000229511.1,RP11-392E22.1,pseudogene,chr9,38486856,38488335,-,1480
ENSG00000229512.1,AC068580.5,sense_intronic,chr11,1784239,1784979,-,252
ENSG00000229513.1,EIF4EBP1P2,pseudogene,chr22,24348440,24348799,+,360
ENSG00000229515.1,FLT1P1,pseudogene,chr3,46183850,46185169,-,1320
ENSG00000229518.1,UBE2V1P3,pseudogene,chrY,3734347,3734763,-,417
ENSG00000229519.2,RP11-58A11.2,pseudogene,chr1,6607965,6608679,+,401
ENSG00000229520.1,LINC00404,lincRNA,chr13,112760409,112761196,-,428
ENSG00000229521.2,MYCBP2-AS2,sense_intronic,chr13,77654646,77655325,-,428
ENSG00000229522.1,RP11-347D21.4,lincRNA,chr20,46612148,46613057,+,450
ENSG00000229523.1,RP11-7G23.4,pseudogene,chr9,45729709,45730417,+,194
ENSG00000229525.1,AC053503.4,antisense,chr2,220253218,220268355,+,1598
ENSG00000229526.2,KRT16P4,pseudogene,chr17,18353558,18379234,+,755
ENSG00000229528.1,RP5-1066H13.4,antisense,chr1,41329586,41342342,+,471
ENSG00000229530.1,RP11-62C3.8,pseudogene,chr9,95101940,95103945,-,913
ENSG00000229531.1,RP1-102G20.5,antisense,chr1,174904084,174923398,-,971
ENSG00000229532.1,AC105443.2,pseudogene,chr7,131771025,131772751,+,712
ENSG00000229533.1,AC003986.5,antisense,chr7,19183916,19185876,+,1526
ENSG00000229534.1,HNRNPA1P53,pseudogene,chr11,5592477,5593422,-,946
ENSG00000229536.1,AC079776.1,lincRNA,chr2,130626766,130635126,-,563
ENSG00000229537.1,RP11-5P4.1,lincRNA,chr1,63466168,63478142,-,676
ENSG00000229539.1,RP11-119B16.2,antisense,chr20,3868886,3869515,-,441
ENSG00000229541.2,GAPDHP26,pseudogene,chr9,103737950,103738964,+,1015
ENSG00000229542.3,SSU72P7,pseudogene,chr11,4359893,4360475,-,583
ENSG00000229543.1,RP11-90J7.2,lincRNA,chr10,80053599,80060760,+,520
ENSG00000229544.6,NKX1-2,protein_coding,chr10,126135592,126138753,-,1646
ENSG00000229546.1,LINC00428,lincRNA,chr13,43416550,43417023,-,227
ENSG00000229547.4,UBE2DNL,pseudogene,chrX,84189157,84189896,+,740
ENSG00000229549.4,TSPY8,protein_coding,chrY,9195406,9218479,+,2853
ENSG00000229550.1,AC012445.1,lincRNA,chr2,4184234,4188321,-,607
ENSG00000229551.2,GAPDHP17,pseudogene,chrY,23023223,23024223,+,1001
ENSG00000229553.1,USP9YP17,pseudogene,chrY,24195902,24204260,-,696
ENSG00000229554.2,RPL21P24,pseudogene,chr1,47963566,47964013,-,448
ENSG00000229556.2,RP11-363G2.4,lincRNA,chr13,23425912,23428277,+,2042
ENSG00000229557.1,LINC00379,lincRNA,chr13,91779867,91783661,-,545
ENSG00000229558.1,SACS-AS1,lincRNA,chr13,23993110,24002818,+,2044
ENSG00000229559.2,RP1-153P14.3,pseudogene,chr6,37511329,37515056,-,943
ENSG00000229560.1,AC105761.1,pseudogene,chr2,82495551,82497051,-,1501
ENSG00000229562.1,ZFYVE9P1,pseudogene,chrX,136742678,136744401,+,1724
ENSG00000229563.2,RP11-245M24.1,lincRNA,chrX,45364633,45489447,+,5260
ENSG00000229565.1,AC108056.1,lincRNA,chr4,118755556,118791103,+,576
ENSG00000229567.1,RP4-717I23.2,pseudogene,chr1,93744518,93744686,-,169
ENSG00000229568.1,AC010146.1,pseudogene,chr2,137302282,137303112,+,527
ENSG00000229569.1,RP11-481G8.2,lincRNA,chr10,80760241,80763560,-,2018
ENSG00000229570.2,GAPDHP58,pseudogene,chr1,120038459,120039464,-,1006
ENSG00000229571.2,PRAMEF26,protein_coding,chr1,13216356,13219581,-,1476
ENSG00000229572.1,EIF4BP4,pseudogene,chr3,42382080,42383859,+,1780
ENSG00000229578.1,LINC00358,lincRNA,chr13,62578226,62603681,-,708
ENSG00000229579.3,USP17L26,protein_coding,chr4,9336384,9337976,+,1593
ENSG00000229582.2,RP11-423C15.3,lincRNA,chr9,128506033,128508831,-,2390
ENSG00000229583.1,RP1-172N19.1,lincRNA,chrX,72001689,72002484,-,465
ENSG00000229585.4,RPL21P44,pseudogene,chr4,54852754,54853225,-,472
ENSG00000229586.2,RP11-434D2.6,pseudogene,chr17,20384643,20387304,-,2662
ENSG00000229587.2,RP11-197P3.5,sense_intronic,chr9,77624744,77630952,-,670
ENSG00000229588.1,RP11-479J7.2,lincRNA,chr1,166304121,166304999,+,423
ENSG00000229589.1,ACVR2B-AS1,antisense,chr3,38492518,38496311,-,2517
ENSG00000229590.2,MSX2P1,pseudogene,chr17,56234389,56235161,+,773
ENSG00000229591.1,RP5-981O7.2,antisense,chr7,151817086,151818802,-,673
ENSG00000229593.1,SUCLA2P3,pseudogene,chr2,25302770,25304558,-,1357
ENSG00000229594.1,RP11-167P23.4,pseudogene,chrX,55659464,55662089,-,307
ENSG00000229595.1,RP5-1097F14.1,pseudogene,chr1,231253577,231254071,-,495
ENSG00000229596.2,MYL8P,pseudogene,chr6,33306755,33307272,+,518
ENSG00000229598.1,PRDX3P1,pseudogene,chr22,39118748,39119510,-,763
ENSG00000229599.1,LINC00411,lincRNA,chr13,101593116,101596618,-,461
ENSG00000229600.1,RP11-524K14.1,lincRNA,chr6,94596618,94599128,+,484
ENSG00000229601.1,AL590762.10,pseudogene,chrX,70633684,70633936,-,253
ENSG00000229603.1,AC004014.3,lincRNA,chr7,108549510,108592723,+,538
ENSG00000229604.2,MTATP8P2,pseudogene,chr2,88124461,88124662,+,202
ENSG00000229605.4,RP11-492M23.2,pseudogene,chr10,29187925,29188422,-,498
ENSG00000229606.1,RP5-827L5.1,lincRNA,chr20,59654196,59655235,+,391
ENSG00000229607.1,RP5-1125N11.1,lincRNA,chr1,31283225,31288400,-,444
ENSG00000229608.1,GOLGA2P4,pseudogene,chr22,43180468,43183106,+,777
ENSG00000229609.1,LINC01079,lincRNA,chr13,27947485,27948503,+,580
ENSG00000229611.1,RP11-390F4.10,lincRNA,chr9,6704471,6707780,+,422
ENSG00000229612.1,SUMO1P2,pseudogene,chr1,168867374,168867677,+,304
ENSG00000229613.1,RP11-555F9.2,lincRNA,chr9,93225806,93345026,-,1180
ENSG00000229615.1,AC111200.1,protein_coding,chr2,87089023,87092827,+,71
ENSG00000229616.2,RP11-369J21.11,pseudogene,chr10,81777469,81777667,-,199
ENSG00000229618.1,AC011288.2,lincRNA,chr7,13141016,13743774,+,989
ENSG00000229619.3,MBNL1-AS1,antisense,chr3,151980405,151987344,-,6585
ENSG00000229620.1,AF196972.2,pseudogene,chrX,48271748,48274761,+,760
ENSG00000229621.1,AC018742.1,lincRNA,chr2,21910306,21933495,-,2098
ENSG00000229622.1,MTND5P2,pseudogene,chr13,96344792,96346226,+,1142
ENSG00000229623.1,METTL21AP1,pseudogene,chr21,40607312,40607946,-,635
ENSG00000229625.3,RP11-44N12.2,lincRNA,chr8,99973656,99980512,+,464
ENSG00000229626.1,PIGCP2,pseudogene,chr7,107449179,107450013,+,835
ENSG00000229627.2,RP11-368M16.4,pseudogene,chr7,57698431,57698818,+,388
ENSG00000229628.1,AC073115.7,lincRNA,chr7,46030504,46040497,+,532
ENSG00000229629.1,RP11-302K17.4,pseudogene,chr10,103849725,103849819,+,95
ENSG00000229630.1,RP11-124O11.2,lincRNA,chr10,43474465,43476955,-,500
ENSG00000229635.1,RP4-713B5.2,pseudogene,chr1,93850044,93850555,-,512
ENSG00000229636.2,KRT8P21,pseudogene,chr1,73570475,73571965,+,1491
